user_input,intent_code,intent_description,label
# SmartBI 意图 - sales_overview (销售概览)
这个月销售怎么样,sales_overview,销售情况概览查询,1
看一下销售情况,sales_overview,销售情况概览查询,1
我想了解下销售数据,sales_overview,销售情况概览查询,1
销售额是多少,sales_overview,销售情况概览查询,1
最近销售如何,sales_overview,销售情况概览查询,1
查下营收,sales_overview,销售情况概览查询,1
本周卖了多少,sales_overview,销售情况概览查询,1
销售报告给我看看,sales_overview,销售情况概览查询,1
整体业绩怎样,sales_overview,销售情况概览查询,1
收入情况汇报,sales_overview,销售情况概览查询,1
今天销量,sales_overview,销售情况概览查询,1
昨天的销售,sales_overview,销售情况概览查询,1
上个月销售额,sales_overview,销售情况概览查询,1
这周营业额多少,sales_overview,销售情况概览查询,1
季度销售总结,sales_overview,销售情况概览查询,1
年度销售情况,sales_overview,销售情况概览查询,1
销售数据汇总,sales_overview,销售情况概览查询,1
帮我查销售,sales_overview,销售情况概览查询,1
看看卖了多少钱,sales_overview,销售情况概览查询,1
营收数据查询,sales_overview,销售情况概览查询,1
删除销售记录,sales_overview,销售情况概览查询,0
修改销售数据,sales_overview,销售情况概览查询,0
谁的销售最好,sales_overview,销售情况概览查询,0
哪个产品卖得好,sales_overview,销售情况概览查询,0
预测下个月销售,sales_overview,销售情况概览查询,0
# SmartBI 意图 - sales_ranking (销售排名)
谁卖得最好,sales_ranking,销售业绩排名查询,1
销售排名看看,sales_ranking,销售业绩排名查询,1
TOP10销售员,sales_ranking,销售业绩排名查询,1
业绩排行榜,sales_ranking,销售业绩排名查询,1
销冠是谁,sales_ranking,销售业绩排名查询,1
前三名业绩,sales_ranking,销售业绩排名查询,1
哪个业务员最厉害,sales_ranking,销售业绩排名查询,1
销售员业绩排名,sales_ranking,销售业绩排名查询,1
看下销售排行,sales_ranking,销售业绩排名查询,1
业绩最好的是谁,sales_ranking,销售业绩排名查询,1
销量第一是谁,sales_ranking,销售业绩排名查询,1
排名前五的销售,sales_ranking,销售业绩排名查询,1
谁的业绩最高,sales_ranking,销售业绩排名查询,1
团队销售排名,sales_ranking,销售业绩排名查询,1
本月销冠,sales_ranking,销售业绩排名查询,1
销售总额,sales_ranking,销售业绩排名查询,0
修改排名,sales_ranking,销售业绩排名查询,0
销售趋势,sales_ranking,销售业绩排名查询,0
# SmartBI 意图 - sales_trend (销售趋势)
销售趋势怎样,sales_trend,销售趋势分析,1
最近销售走势,sales_trend,销售趋势分析,1
销量变化图,sales_trend,销售趋势分析,1
销售增长趋势,sales_trend,销售趋势分析,1
这周的销售趋势,sales_trend,销售趋势分析,1
每天的销售变化,sales_trend,销售趋势分析,1
销售曲线,sales_trend,销售趋势分析,1
月度销售走势,sales_trend,销售趋势分析,1
销售波动情况,sales_trend,销售趋势分析,1
日销售趋势图,sales_trend,销售趋势分析,1
周趋势分析,sales_trend,销售趋势分析,1
销售涨跌情况,sales_trend,销售趋势分析,1
最近一周趋势,sales_trend,销售趋势分析,1
销售是涨还是跌,sales_trend,销售趋势分析,1
销售总额,sales_trend,销售趋势分析,0
谁卖得最好,sales_trend,销售趋势分析,0
# SmartBI 意图 - inventory (库存查询)
库存多少,inventory,库存查询与分析,1
还有多少货,inventory,库存查询与分析,1
库存情况,inventory,库存查询与分析,1
存货量,inventory,库存查询与分析,1
库存分析,inventory,库存查询与分析,1
缺货吗,inventory,库存查询与分析,1
库存预警,inventory,库存查询与分析,1
哪些要补货,inventory,库存查询与分析,1
库存报表,inventory,库存查询与分析,1
各产品库存,inventory,库存查询与分析,1
仓库存货,inventory,库存查询与分析,1
库存不足的,inventory,库存查询与分析,1
滞销库存,inventory,库存查询与分析,1
库存周转,inventory,库存查询与分析,1
安全库存,inventory,库存查询与分析,1
销售数据,inventory,库存查询与分析,0
利润分析,inventory,库存查询与分析,0
# SmartBI 意图 - profit_analysis (利润分析)
利润情况,profit_analysis,利润分析查询,1
赚了多少钱,profit_analysis,利润分析查询,1
毛利率多少,profit_analysis,利润分析查询,1
净利润是多少,profit_analysis,利润分析查询,1
盈利情况如何,profit_analysis,利润分析查询,1
看下利润报表,profit_analysis,利润分析查询,1
利润分析报告,profit_analysis,利润分析查询,1
毛利有多少,profit_analysis,利润分析查询,1
净利率情况,profit_analysis,利润分析查询,1
盈利分析,profit_analysis,利润分析查询,1
本月利润,profit_analysis,利润分析查询,1
季度盈利,profit_analysis,利润分析查询,1
利润占比,profit_analysis,利润分析查询,1
各产品利润,profit_analysis,利润分析查询,1
销售额多少,profit_analysis,利润分析查询,0
成本分析,profit_analysis,利润分析查询,0
# SmartBI 意图 - cost_analysis (成本分析)
成本情况,cost_analysis,成本分析查询,1
花了多少钱,cost_analysis,成本分析查询,1
费用分析,cost_analysis,成本分析查询,1
成本构成,cost_analysis,成本分析查询,1
开支明细,cost_analysis,成本分析查询,1
支出分析报告,cost_analysis,成本分析查询,1
成本占比,cost_analysis,成本分析查询,1
各项成本,cost_analysis,成本分析查询,1
费用支出,cost_analysis,成本分析查询,1
成本报表,cost_analysis,成本分析查询,1
本月成本,cost_analysis,成本分析查询,1
运营成本,cost_analysis,成本分析查询,1
人工成本多少,cost_analysis,成本分析查询,1
材料成本,cost_analysis,成本分析查询,1
利润分析,cost_analysis,成本分析查询,0
收入多少,cost_analysis,成本分析查询,0
# 物料管理意图 - MATERIAL_BATCH_QUERY
查询物料批次,MATERIAL_BATCH_QUERY,物料批次查询,1
物料批号查询,MATERIAL_BATCH_QUERY,物料批次查询,1
看看原料批次,MATERIAL_BATCH_QUERY,物料批次查询,1
查下这批原料,MATERIAL_BATCH_QUERY,物料批次查询,1
批次追溯,MATERIAL_BATCH_QUERY,物料批次查询,1
原料入库记录,MATERIAL_BATCH_QUERY,物料批次查询,1
物料溯源,MATERIAL_BATCH_QUERY,物料批次查询,1
批号查询,MATERIAL_BATCH_QUERY,物料批次查询,1
入库批次信息,MATERIAL_BATCH_QUERY,物料批次查询,1
查一下原材料,MATERIAL_BATCH_QUERY,物料批次查询,1
这批物料信息,MATERIAL_BATCH_QUERY,物料批次查询,1
批次详情,MATERIAL_BATCH_QUERY,物料批次查询,1
删除批次,MATERIAL_BATCH_QUERY,物料批次查询,0
修改入库记录,MATERIAL_BATCH_QUERY,物料批次查询,0
生产进度,MATERIAL_BATCH_QUERY,物料批次查询,0
# 物料管理意图 - MATERIAL_INVENTORY_QUERY
物料库存多少,MATERIAL_INVENTORY_QUERY,物料库存查询,1
原料还有多少,MATERIAL_INVENTORY_QUERY,物料库存查询,1
仓库存量,MATERIAL_INVENTORY_QUERY,物料库存查询,1
物料余量,MATERIAL_INVENTORY_QUERY,物料库存查询,1
原材料库存,MATERIAL_INVENTORY_QUERY,物料库存查询,1
查下库存,MATERIAL_INVENTORY_QUERY,物料库存查询,1
材料还剩多少,MATERIAL_INVENTORY_QUERY,物料库存查询,1
盘点数据,MATERIAL_INVENTORY_QUERY,物料库存查询,1
库存预警,MATERIAL_INVENTORY_QUERY,物料库存查询,1
缺料情况,MATERIAL_INVENTORY_QUERY,物料库存查询,1
入库物料,MATERIAL_INVENTORY_QUERY,物料库存查询,0
生产进度,MATERIAL_INVENTORY_QUERY,物料库存查询,0
# 生产管理意图 - PRODUCTION_STATUS_QUERY
生产进度怎么样,PRODUCTION_STATUS_QUERY,生产进度查询,1
今天产量多少,PRODUCTION_STATUS_QUERY,生产进度查询,1
车间生产情况,PRODUCTION_STATUS_QUERY,生产进度查询,1
产线状态,PRODUCTION_STATUS_QUERY,生产进度查询,1
工单完成情况,PRODUCTION_STATUS_QUERY,生产进度查询,1
加工进度,PRODUCTION_STATUS_QUERY,生产进度查询,1
批次生产状态,PRODUCTION_STATUS_QUERY,生产进度查询,1
产能情况,PRODUCTION_STATUS_QUERY,生产进度查询,1
生产报表,PRODUCTION_STATUS_QUERY,生产进度查询,1
工序进展,PRODUCTION_STATUS_QUERY,生产进度查询,1
今天做了多少,PRODUCTION_STATUS_QUERY,生产进度查询,1
车间产出,PRODUCTION_STATUS_QUERY,生产进度查询,1
停止生产,PRODUCTION_STATUS_QUERY,生产进度查询,0
创建工单,PRODUCTION_STATUS_QUERY,生产进度查询,0
# 设备管理意图 - EQUIPMENT_STATUS_QUERY
设备状态查询,EQUIPMENT_STATUS_QUERY,设备状态查询,1
机器运行情况,EQUIPMENT_STATUS_QUERY,设备状态查询,1
设备是否正常,EQUIPMENT_STATUS_QUERY,设备状态查询,1
机台状态,EQUIPMENT_STATUS_QUERY,设备状态查询,1
设备运转情况,EQUIPMENT_STATUS_QUERY,设备状态查询,1
哪些设备故障,EQUIPMENT_STATUS_QUERY,设备状态查询,1
设备运行报告,EQUIPMENT_STATUS_QUERY,设备状态查询,1
机器开机情况,EQUIPMENT_STATUS_QUERY,设备状态查询,1
设备维护状态,EQUIPMENT_STATUS_QUERY,设备状态查询,1
产线设备状态,EQUIPMENT_STATUS_QUERY,设备状态查询,1
启动设备,EQUIPMENT_STATUS_QUERY,设备状态查询,0
维修机器,EQUIPMENT_STATUS_QUERY,设备状态查询,0
# 质检管理意图 - QUALITY_INSPECTION_QUERY
质检结果查询,QUALITY_INSPECTION_QUERY,质检结果查询,1
检测报告,QUALITY_INSPECTION_QUERY,质检结果查询,1
质量检验情况,QUALITY_INSPECTION_QUERY,质检结果查询,1
合格率多少,QUALITY_INSPECTION_QUERY,质检结果查询,1
不合格品数量,QUALITY_INSPECTION_QUERY,质检结果查询,1
品控数据,QUALITY_INSPECTION_QUERY,质检结果查询,1
检验记录,QUALITY_INSPECTION_QUERY,质检结果查询,1
质检报表,QUALITY_INSPECTION_QUERY,质检结果查询,1
今天质检情况,QUALITY_INSPECTION_QUERY,质检结果查询,1
批次质检结果,QUALITY_INSPECTION_QUERY,质检结果查询,1
创建质检任务,QUALITY_INSPECTION_QUERY,质检结果查询,0
修改检测报告,QUALITY_INSPECTION_QUERY,质检结果查询,0
# 考勤管理意图 - ATTENDANCE_QUERY
考勤记录查询,ATTENDANCE_QUERY,考勤记录查询,1
谁今天没来,ATTENDANCE_QUERY,考勤记录查询,1
出勤情况,ATTENDANCE_QUERY,考勤记录查询,1
打卡记录,ATTENDANCE_QUERY,考勤记录查询,1
缺勤人员,ATTENDANCE_QUERY,考勤记录查询,1
迟到早退,ATTENDANCE_QUERY,考勤记录查询,1
本月考勤统计,ATTENDANCE_QUERY,考勤记录查询,1
员工签到情况,ATTENDANCE_QUERY,考勤记录查询,1
上班人数,ATTENDANCE_QUERY,考勤记录查询,1
谁没打卡,ATTENDANCE_QUERY,考勤记录查询,1
帮我打卡,ATTENDANCE_QUERY,考勤记录查询,0
签到,ATTENDANCE_QUERY,考勤记录查询,0
# 发货管理意图 - SHIPMENT_STATUS_QUERY
发货情况查询,SHIPMENT_STATUS_QUERY,发货状态查询,1
出货进度,SHIPMENT_STATUS_QUERY,发货状态查询,1
物流状态,SHIPMENT_STATUS_QUERY,发货状态查询,1
配送情况,SHIPMENT_STATUS_QUERY,发货状态查询,1
运输状态,SHIPMENT_STATUS_QUERY,发货状态查询,1
订单发货情况,SHIPMENT_STATUS_QUERY,发货状态查询,1
出库记录,SHIPMENT_STATUS_QUERY,发货状态查询,1
发运进度,SHIPMENT_STATUS_QUERY,发货状态查询,1
今天发了多少货,SHIPMENT_STATUS_QUERY,发货状态查询,1
待发货订单,SHIPMENT_STATUS_QUERY,发货状态查询,1
创建发货单,SHIPMENT_STATUS_QUERY,发货状态查询,0
安排发货,SHIPMENT_STATUS_QUERY,发货状态查询,0
# 告警管理意图 - ALERT_QUERY
告警查询,ALERT_QUERY,告警查询,1
有什么异常,ALERT_QUERY,告警查询,1
预警信息,ALERT_QUERY,告警查询,1
报警记录,ALERT_QUERY,告警查询,1
故障通知,ALERT_QUERY,告警查询,1
今天有告警吗,ALERT_QUERY,告警查询,1
异常情况汇总,ALERT_QUERY,告警查询,1
警报列表,ALERT_QUERY,告警查询,1
设备告警,ALERT_QUERY,告警查询,1
质量预警,ALERT_QUERY,告警查询,1
关闭告警,ALERT_QUERY,告警查询,0
处理异常,ALERT_QUERY,告警查询,0
